timestamp,side,price,amount,cost,rebalance_cycle,revenue,profit
2025-12-27 16:47:57.440602,buy,74449.7915,0.013431871061720837,1000.0,0,,
2025-12-27 16:47:57.440625,buy,76734.62539208238,0.013031926524569725,999.9999999999999,0,,
2025-12-27 16:47:57.440643,buy,79089.57990920919,0.012643890650929605,1000.0,0,,
2025-12-27 16:47:57.440658,buy,81516.80702491062,0.012267408850967521,1000.0,0,,
2025-12-27 16:47:57.440671,buy,84018.52475591132,0.011902137093042005,1000.0000000000001,0,,
2025-12-27 16:47:57.440683,buy,86597.01918896918,0.011547741589324602,1000.0,0,,
2025-12-27 16:47:57.440698,sell,89254.6465699171,0.011203898490782281,,0,1000.0000000000001,101.59154410113483
2025-12-27 16:47:57.440713,sell,91993.83545681655,0.010870293591241956,,0,1000.0,128.34236328455572
2025-12-27 16:47:57.440727,sell,94817.08893919042,0.010546622040266768,,0,1000.0,154.2966557631291
2025-12-27 16:47:57.440740,sell,97726.98692536344,0.010232588064581641,,0,1000.0,179.47813874667915
2025-12-27 16:47:57.440752,sell,100726.18849999996,0.009927904697793666,,0,1000.0,203.90982324643215
2025-12-27 16:48:59.688352,buy,74449.7915,0.013431871061720837,1000.0,0,,
2025-12-27 16:48:59.688372,buy,76734.62539208238,0.013031926524569725,999.9999999999999,0,,
2025-12-27 16:48:59.688388,buy,79089.57990920919,0.012643890650929605,1000.0,0,,
2025-12-27 16:48:59.688401,buy,81516.80702491062,0.012267408850967521,1000.0,0,,
2025-12-27 16:48:59.688413,buy,84018.52475591132,0.011902137093042005,1000.0000000000001,0,,
2025-12-27 16:48:59.688426,buy,86597.01918896918,0.011547741589324602,1000.0,0,,
2025-12-27 16:48:59.688439,sell,89254.6465699171,0.011203898490782281,,0,1000.0000000000001,101.59154410113483
2025-12-27 16:48:59.688452,sell,91993.83545681655,0.010870293591241956,,0,1000.0,128.34236328455572
2025-12-27 16:48:59.688464,sell,94817.08893919042,0.010546622040266768,,0,1000.0,154.2966557631291
2025-12-27 16:48:59.688476,sell,97726.98692536344,0.010232588064581641,,0,1000.0,179.47813874667915
2025-12-27 16:48:59.688487,sell,100726.18849999996,0.009927904697793666,,0,1000.0,203.90982324643215
2025-12-27 16:50:02.360782,buy,74449.7915,0.013431871061720837,1000.0,0,,
2025-12-27 16:50:02.360804,buy,76734.62539208238,0.013031926524569725,999.9999999999999,0,,
2025-12-27 16:50:02.360820,buy,79089.57990920919,0.012643890650929605,1000.0,0,,
2025-12-27 16:50:02.360833,buy,81516.80702491062,0.012267408850967521,1000.0,0,,
2025-12-27 16:50:02.360846,buy,84018.52475591132,0.011902137093042005,1000.0000000000001,0,,
2025-12-27 16:50:02.360858,buy,86597.01918896918,0.011547741589324602,1000.0,0,,
2025-12-27 16:50:02.360871,sell,89254.6465699171,0.011203898490782281,,0,1000.0000000000001,101.59154410113483
2025-12-27 16:50:02.360885,sell,91993.83545681655,0.010870293591241956,,0,1000.0,128.34236328455572
2025-12-27 16:50:02.360897,sell,94817.08893919042,0.010546622040266768,,0,1000.0,154.2966557631291
2025-12-27 16:50:02.360907,sell,97726.98692536344,0.010232588064581641,,0,1000.0,179.47813874667915
2025-12-27 16:50:02.360918,sell,100726.18849999996,0.009927904697793666,,0,1000.0,203.90982324643215
2025-12-27 16:51:04.684216,buy,74449.7915,0.013431871061720837,1000.0,0,,
2025-12-27 16:51:04.684237,buy,76734.62539208238,0.013031926524569725,999.9999999999999,0,,
2025-12-27 16:51:04.684253,buy,79089.57990920919,0.012643890650929605,1000.0,0,,
2025-12-27 16:51:04.684266,buy,81516.80702491062,0.012267408850967521,1000.0,0,,
2025-12-27 16:51:04.684277,buy,84018.52475591132,0.011902137093042005,1000.0000000000001,0,,
2025-12-27 16:51:04.684288,buy,86597.01918896918,0.011547741589324602,1000.0,0,,
2025-12-27 16:51:04.684300,sell,89254.6465699171,0.011203898490782281,,0,1000.0000000000001,101.59154410113466
2025-12-27 16:51:04.684313,sell,91993.83545681655,0.010870293591241956,,0,1000.0,128.34236328455555
2025-12-27 16:51:04.684325,sell,94817.08893919042,0.010546622040266768,,0,1000.0,154.29665576312894
2025-12-27 16:51:04.684336,sell,97726.98692536344,0.010232588064581641,,0,1000.0,179.478138746679
2025-12-27 16:51:04.684347,sell,100726.18849999996,0.009927904697793666,,0,1000.0,203.909823246432
2025-12-27 16:52:07.012119,buy,74449.7915,0.013431871061720837,1000.0,0,,
2025-12-27 16:52:07.012140,buy,76734.62539208238,0.013031926524569725,999.9999999999999,0,,
2025-12-27 16:52:07.012156,buy,79089.57990920919,0.012643890650929605,1000.0,0,,
2025-12-27 16:52:07.012172,buy,81516.80702491062,0.012267408850967521,1000.0,0,,
2025-12-27 16:52:07.012185,buy,84018.52475591132,0.011902137093042005,1000.0000000000001,0,,
2025-12-27 16:52:07.012198,sell,89254.6465699171,0.011203898490782281,,0,1000.0000000000001,107.06727433065167
2025-12-27 16:52:07.012212,sell,91993.83545681655,0.010870293591241956,,0,1000.0,133.6550493348852
2025-12-27 16:52:07.012224,sell,94817.08893919042,0.010546622040266768,,0,1000.0,159.45115240308795
2025-12-27 16:52:07.012239,sell,97726.98692536344,0.010232588064581641,,0,1000.0,184.47915619051986
2025-12-27 16:52:07.012250,sell,100726.18849999996,0.009927904697793666,,0,1000.0,208.76193145806906
